Normalized,Session
10.3286385,HAB
6.71641791,HAB
3.5,HAB
3.045685279,HAB
14.9122807,HAB
21.53846154,HAB
24.69135802,B
17.8913738,B
37.33681462,B
20.74688797,B
23.31288344,B
4.455445545,B
4.5,B
2.985074627,B
15.16034985,B
9.333333333,B
45.45454545,A
40.0862069,A
17.56373938,A
37.89473684,A
12.3853211,A
34.55497382,A
21.2244898,A
9.478672986,A
9.722222222,A
35.61946903,A
20,A
