,activity_vector,freezing_vector
0,2.7472277244094894,0
1,1.8909221019119822,0
2,1.6919504590946994,0
3,1.6499737715261438,0
4,1.6451445041390886,0
5,1.6593505311112968,0
6,1.6089713912928925,0
7,1.5607336267986098,0
8,1.543831989468835,0
9,1.5586718035615148,0
10,1.4859553631568603,0
11,1.4515864043882891,0
12,1.4714135485753088,0
13,1.4536728427908023,0
14,1.4301310653349029,0
15,1.4625052871898467,0
16,1.425206915379032,0
17,1.369315700204266,0
18,1.3334260601704355,0
19,1.3533634330147137,0
20,1.3410960746823082,0
21,1.277217285833369,0
22,1.2677054085168695,0
23,1.23549853033573,0
24,1.223579105111294,0
25,1.1902483050687398,0
26,1.2046486150685973,0
27,1.1825684665390712,0
28,1.141391970830101,0
29,1.10309279635465,0
30,1.14147222622112,0
31,1.0889815731980341,0
32,1.0854408547025196,0
33,1.0768113749017354,0
34,1.1025387478885829,0
35,1.0868938943451707,0
36,1.0941550655537606,0
37,1.0734723790684433,0
38,1.0302111283426794,0
39,1.0149519718033442,0
40,1.0065398912601515,0
41,1.0578792546279767,0
42,1.0662290780853199,0
43,1.0877453150108833,0
44,1.0215107017375453,0
45,1.0305940530097055,0
46,1.0365677740209442,0
47,1.0364077592412675,0
48,0.9942279136512326,0
49,0.9673223183227893,0
50,0.9396479271735619,0
51,0.9472868662601002,0
52,0.9602301355706241,0
53,0.9243028663709305,0
54,0.914968775290938,0
55,0.8870079091141055,0
56,0.8993998074141737,0
57,0.9038728312710004,0
58,0.9146999934592888,0
59,0.8158404572488815,0
60,0.840975475268993,0
61,0.8043396797458657,0
62,0.8135414774413483,0
63,0.8375964416720575,0
64,0.815368510391925,0
65,0.7663095658881117,0
66,0.7345124644911968,0
67,0.730923954094398,0
68,0.7387222750049616,0
69,0.7615738112517626,0
70,0.7680544783962631,0
71,0.723941590296262,0
72,0.7081924856545543,0
73,0.7201013944247,0
74,0.7084863417876793,0
75,0.7109724657421184,0
76,0.6783744298115405,0
77,0.6809102800767814,0
78,0.6593447666589568,0
79,0.6415387894491306,0
80,0.619853117191351,0
81,0.6029985307466035,0
82,0.6079708806191797,0
83,0.6043696509975968,0
84,0.6361353797200611,0
85,0.649940414641848,0
86,0.6411291454451208,0
87,0.6212699970268016,0
88,0.5978866024135333,0
89,0.560625030790628,0
90,0.5839853208104484,0
91,0.6210477491024742,0
92,0.5953977424619822,0
93,0.6233643223369603,0
94,0.5639138105770112,0
95,0.5323024600784626,0
96,0.5393396973243143,0
97,0.5485248973619057,0
98,0.5612762884588646,0
99,0.5278379087250104,0
100,0.525655831458521,0
101,0.5576757595914253,0
102,0.5051125509521112,0
103,0.5608397400285144,0
104,0.5395966670539456,0
105,0.5424679398348423,0
106,0.551871549990763,0
107,0.5681688409383989,0
108,0.5675458568184876,0
109,0.5278869014380645,0
110,0.5377281796649778,0
111,0.602782176781799,0
112,0.5809126403692368,0
113,0.5747864201270693,1
114,0.6079021381319134,1
115,0.5875587052039911,1
116,0.5888799867952463,1
117,0.5893257888422087,1
118,0.5922215722676697,1
119,0.6261767455308452,1
120,0.6080370483948664,1
121,0.5789038146589656,1
122,0.5504762674557421,1
123,0.560923786485708,1
124,0.5744293150089759,1
125,0.5777793313205035,1
126,0.5723818489087988,1
127,0.567649336735864,1
128,0.6004617036794415,1
129,0.596637651115017,1
130,0.5641627365298749,1
131,0.5747138131244819,1
132,0.5601203621103441,1
133,0.5410616985347577,1
134,0.552297460829778,1
135,0.5365351346034957,1
136,0.5850603998084699,1
137,0.5733805368987948,1
138,0.579634123149532,1
139,0.5816524456398264,1
140,0.574344275504025,1
141,0.5784813864130677,1
142,0.6284482353935418,1
143,0.5772162399614906,1
144,0.6053218711027599,1
145,0.6209901017778093,1
146,0.5915449549635088,1
147,0.5677718234748899,1
148,0.5550851203932085,1
149,0.5958530480637965,1
150,0.6036243666027817,1
151,0.5754562876000714,1
152,0.5962683123197975,1
153,0.5855495345287486,1
154,0.6236636207850221,1
155,0.6046697485191646,1
156,0.6191017979370923,1
157,0.5659869196761288,1
158,0.5691351784680935,1
159,0.5450925916055784,1
160,0.5815496635507944,1
161,0.5495682306633728,1
162,0.5487167497450527,1
163,0.526712460888488,1
164,0.5109655654650914,1
165,0.5244183793318625,1
166,0.5451131620419472,1
167,0.541608672608137,1
168,0.5480643599891263,1
169,0.5478136352285584,1
170,0.5583213402918096,1
171,0.5161492869733088,1
172,0.5293781385460469,1
173,0.5290677554548068,1
174,0.5145961481538166,1
175,0.5197716516115781,1
176,0.5522749136637324,1
177,0.5321912153317004,1
178,0.5015200091776292,1
179,0.5455859609049339,1
180,0.5494283460823948,1
181,0.5301210824972697,1
182,0.4951436818576273,1
183,0.5161535624131102,1
184,0.5386589188479236,1
185,0.5302106477100896,1
186,0.5136610902793747,1
187,0.4903998535124309,1
188,0.4931566390254259,1
189,0.5097498493729343,1
190,0.55397253335152,1
191,0.4888288406898196,1
192,0.5422032235535417,1
193,0.5687536794491982,1
194,0.5266376042399216,1
195,0.5189106158075061,1
196,0.4906503747341962,1
197,0.5117675031119481,1
198,0.5239286517088539,1
