animal,slope,intercept,p_value_slope,p_value_bias,r_squared
astro3,0.327771383027611,-0.308617428764191,5.480914740380108e-40,0.03243206915643411,0.6573740913389456
astro7,0.40626485808237733,-0.5874418848240921,3.5182509238418832e-40,0.05367743920962783,0.5047736246334782
astro8,0.6227550953695673,-1.9438791747738087,2.833888321120556e-71,1.0651684771093885e-19,0.7400041102381639
astro9,0.24634567834641719,0.13258731316207129,5.918525337265739e-21,0.15113441148661028,0.5433136601869473
astro4,0.535481720022153,-1.097824945078713,5.2824869088913145e-61,3.106179043074649e-06,0.6307439277893151
astro5,0.16207742146285578,0.5223792124123601,1.6539724756791494e-23,0.0026090364422057433,0.2950838748776101
astro6,0.3672540162445056,-0.5918161899763653,2.6042069466464743e-27,0.06688057305790891,0.4890504222382266
