animal,slope,intercept,p_value_slope,p_value_bias,r_squared
astro3,0.14885020839924992,1.7212840809737724,5.776346822456638e-05,4.115206407352923e-06,0.07901523546828615
astro8,0.17932864738202062,1.5787681935327846,4.441651715770391e-09,0.00010124360160115475,0.1421389791162595
astro9,0.13304622571478375,1.8717284521911224,0.005895704472886526,5.067819218832152e-06,0.09435005995815082
astro4,0.19577241517588767,1.0229355289676874,1.4651569203563523e-22,3.0372175410674937e-07,0.27461716249638757
astro5,0.18378287745992467,0.8585318205289625,1.0335972189694616e-09,0.0018540630868401136,0.1719256954897238
astro6,0.17957708145085738,1.6391596079713286,0.0006681279369215806,0.014812468056072363,0.08426331540824505
astro7,0.1627146326531791,2.2892150292800726,2.7084574884924614e-05,8.877342687397871e-06,0.11702861182270419
