activity_vector,freezing_vector,animal_name,condition
3.4866123111145355,0,astro3,cxta
2.496135477811358,0,astro3,cxta
2.252358736702935,0,astro3,cxta
2.1683695494104835,0,astro3,cxta
2.1067129568275496,0,astro3,cxta
2.067019035131275,0,astro3,cxta
2.0446959128351105,0,astro3,cxta
1.9766488594156368,0,astro3,cxta
1.8987164038075814,0,astro3,cxta
1.8235865563911466,1,astro3,cxta
1.7858007447206328,1,astro3,cxta
1.7457287147523202,1,astro3,cxta
1.687433121108943,1,astro3,cxta
1.6523185837702423,1,astro3,cxta
1.6454473754174324,1,astro3,cxta
1.6472147777844903,1,astro3,cxta
1.620906867879485,1,astro3,cxta
1.5687716673288303,1,astro3,cxta
1.5418539938596019,1,astro3,cxta
1.499388129734544,1,astro3,cxta
1.5404698614558716,1,astro3,cxta
1.521853294293515,1,astro3,cxta
1.4780977590816153,1,astro3,cxta
1.4599679160816725,1,astro3,cxta
1.4293301101262759,1,astro3,cxta
1.384255148118238,1,astro3,cxta
1.319406932402496,1,astro3,cxta
1.262815661956226,1,astro3,cxta
1.234842059803584,1,astro3,cxta
1.2200205734948322,1,astro3,cxta
1.1627038996740848,0,astro3,cxta
1.1080305599090516,0,astro3,cxta
1.1127818543070354,0,astro3,cxta
1.0570229301587521,0,astro3,cxta
1.0581382403976949,0,astro3,cxta
1.0580988642270237,0,astro3,cxta
0.9956256325947052,0,astro3,cxta
0.9444924109006143,0,astro3,cxta
0.8947298532951321,0,astro3,cxta
0.8942862550178674,0,astro3,cxta
0.8824981536822907,0,astro3,cxta
0.8502413482853816,0,astro3,cxta
0.8384564722800332,0,astro3,cxta
0.8348149771856661,0,astro3,cxta
0.8324486072856272,0,astro3,cxta
0.7936430999393602,0,astro3,cxta
0.7942263240810717,0,astro3,cxta
0.7724731948333533,0,astro3,cxta
0.7555499157980105,0,astro3,cxta
0.755925548328585,0,astro3,cxta
0.7359745930937697,0,astro3,cxta
0.7237268226423956,0,astro3,cxta
0.7099829287027589,0,astro3,cxta
0.6706040898142108,0,astro3,cxta
0.7010480782527738,0,astro3,cxta
0.6829016481887386,0,astro3,cxta
0.6953312575839669,0,astro3,cxta
0.6952338367020628,0,astro3,cxta
0.6688716039900665,0,astro3,cxta
0.6464264189887947,0,astro3,cxta
0.6197944158470027,0,astro3,cxta
0.6161650584320355,0,astro3,cxta
0.5938917543015079,0,astro3,cxta
0.5923154696192213,0,astro3,cxta
0.5919417946827596,0,astro3,cxta
0.6092771110599116,0,astro3,cxta
0.6180871076545962,0,astro3,cxta
0.5718731508836016,0,astro3,cxta
0.5353693978392271,0,astro3,cxta
0.5608798576590999,0,astro3,cxta
0.5246637431464917,0,astro3,cxta
0.5434305099644697,0,astro3,cxta
0.5326613323684815,0,astro3,cxta
0.5465156510598036,0,astro3,cxta
0.5436112031136254,0,astro3,cxta
0.5584496083283733,0,astro3,cxta
0.5213157369485916,0,astro3,cxta
0.5484509739185716,0,astro3,cxta
0.5322310018604322,0,astro3,cxta
0.5161602094447441,0,astro3,cxta
0.5095825701750764,0,astro3,cxta
0.4968939800270976,0,astro3,cxta
0.502052063380321,0,astro3,cxta
0.5173639081881224,0,astro3,cxta
0.5153007115981886,0,astro3,cxta
0.5147338310715389,0,astro3,cxta
0.5275730725850047,0,astro3,cxta
0.5300844493354417,0,astro3,cxta
0.5077419981879007,0,astro3,cxta
0.509667797876592,1,astro3,cxta
0.4957795967901639,1,astro3,cxta
0.5164646913725811,1,astro3,cxta
0.503437402133211,1,astro3,cxta
0.5302770061866499,1,astro3,cxta
0.5491545534580328,1,astro3,cxta
0.5048070019314305,1,astro3,cxta
0.5180683299750595,1,astro3,cxta
0.4953049300915985,1,astro3,cxta
0.46983451459317144,1,astro3,cxta
0.48209650489522116,1,astro3,cxta
0.4695382104813474,1,astro3,cxta
0.45659082584689714,1,astro3,cxta
0.5154521006029311,1,astro3,cxta
0.4671170202854325,1,astro3,cxta
0.46603262470187096,1,astro3,cxta
0.4567169210137658,1,astro3,cxta
0.4666559575181902,1,astro3,cxta
0.47852951496795015,1,astro3,cxta
0.46990668863931695,1,astro3,cxta
