animal,spearman_rho,spearman_p,slope,intercept,p_value_slope,p_value_bias,r2_var,r2_corr,r2_pseudo_robust,heatmap_fp,scatter_fp,shuffle_hist_fp,shuffle_empirical_p,shuffle_null_mean,shuffle_null_std,shuffle_z,sex
astroF3,-0.052080702,0.7057086204615104,0.010017505463967402,3.954463003168267,0.9130381735834078,5.43892177175818e-10,-0.07032912,0.005339712,0.070742336,/Users/suthardr/Desktop/Revision/fig3/B/FC_crossvalled_astroF3_heatmaps.svg,/Users/suthardr/Desktop/Revision/fig3/B/FC_crossvalled_astroF3_scatter.svg,/Users/suthardr/Desktop/Revision/fig3/B/FC_crossvalled_astroF3_shuffle_null.svg,0.7051294870512949,0.00128925,0.13656808660298972,-0.390793728,F
astroF7,0.1328671328671329,0.6805975082860818,0.23677874223847475,2.606363986606831,0.089338058,0.031004520978250284,-0.021121012,0.037924967998344876,0.21602271743687196,/Users/suthardr/Desktop/Revision/fig3/B/FC_crossvalled_astroF7_heatmaps.svg,/Users/suthardr/Desktop/Revision/fig3/B/FC_crossvalled_astroF7_scatter.svg,/Users/suthardr/Desktop/Revision/fig3/B/FC_crossvalled_astroF7_shuffle_null.svg,0.6846315368463154,0.000557343,0.30231600206911646,0.43765394257596557,F
astroF9,0.2695597905723024,0.000544375,0.28549503041677066,5.583268629664874,3.5365294689512834e-05,3.8641481814419837e-11,0.047576992,0.062738383,0.082074731,/Users/suthardr/Desktop/Revision/fig3/B/FC_crossvalled_astroF9_heatmaps.svg,/Users/suthardr/Desktop/Revision/fig3/B/FC_crossvalled_astroF9_scatter.svg,/Users/suthardr/Desktop/Revision/fig3/B/FC_crossvalled_astroF9_shuffle_null.svg,0.00039996,-0.001541866,0.078506411,3.4532422740768647,F
astroM6,0.154176996,0.075295837,0.17449754637220122,8.145910043481356,0.050031992685638106,2.1118518128886323e-12,0.028821369758589954,0.029001692,0.028920235060197252,/Users/suthardr/Desktop/Revision/fig3/B/FC_crossvalled_astroM6_heatmaps.svg,/Users/suthardr/Desktop/Revision/fig3/B/FC_crossvalled_astroM6_scatter.svg,/Users/suthardr/Desktop/Revision/fig3/B/FC_crossvalled_astroM6_shuffle_null.svg,0.076392361,0.000265119,0.086084508,1.7879161023747934,M
astroM7,-0.04784213,0.569065578,-0.079305582,11.025944664430227,0.37678374767171274,2.4262404348827737e-19,0.005853423,0.006359257,0.006138386,/Users/suthardr/Desktop/Revision/fig3/B/FC_crossvalled_astroM7_heatmaps.svg,/Users/suthardr/Desktop/Revision/fig3/B/FC_crossvalled_astroM7_scatter.svg,/Users/suthardr/Desktop/Revision/fig3/B/FC_crossvalled_astroM7_shuffle_null.svg,0.5622437756224378,0.000987494,0.082932941,-0.58878442,M
astroM8,-0.094982254,0.15375913625029203,-0.106644803,11.515935119379208,0.13791513,1.9432108788763143e-30,0.008160124,0.008977201,0.010780670626700628,/Users/suthardr/Desktop/Revision/fig3/B/FC_crossvalled_astroM8_heatmaps.svg,/Users/suthardr/Desktop/Revision/fig3/B/FC_crossvalled_astroM8_scatter.svg,/Users/suthardr/Desktop/Revision/fig3/B/FC_crossvalled_astroM8_shuffle_null.svg,0.15128487151284872,-0.001319156,0.066199409,-1.414863066,M
astroM10,0.38459241564646174,0.000109389,0.267028411,3.1568537420122507,0.000854122,2.421922649452584e-13,0.041389121,0.046616871,0.0927845,/Users/suthardr/Desktop/Revision/fig3/B/FC_crossvalled_astroM10_heatmaps.svg,/Users/suthardr/Desktop/Revision/fig3/B/FC_crossvalled_astroM10_scatter.svg,/Users/suthardr/Desktop/Revision/fig3/B/FC_crossvalled_astroM10_shuffle_null.svg,0.00049995,0.000732588,0.10240663283059022,3.7483883313664963,M
