"","pred_a1","pred_a0","pred_mu","pred_sigma","pred_mu_sigma","variance","mean_peak","mu_1","mu_2","mu_3","mu_4","mu_5","mu_6","mu_7","mu_8","CellID","animal"
"1038","0.1","0","15.7","1.6","11.3","13.6258333078507","17.3333333333333","7.1","12.1","32.8",NA,NA,NA,NA,NA,"1038","M4."
"1039","0.1","0","8.5","2","4.6","4.93186915208963","8.26666666666667","12.6","9.3","2.9",NA,NA,NA,NA,NA,"1039","M4."
"104","0","0","1.5","3.9","0.9","0.737111479583199","2.03333333333333","2.6","1.2","2.3",NA,NA,NA,NA,NA,"104","F5."
"1040","0","0","2","1.2","1.1","1.32035348802256","2.26666666666667","2","1.1","3.7",NA,NA,NA,NA,NA,"1040","M4."
"1041","0.2","0","5","1.9","0.3","0.494974746830583","5.15","5.5","4.8",NA,NA,NA,NA,NA,NA,"1041","M5."
"1042","0.3","0","5.1","2.7","0.2","0","5.3","5.3","5.3",NA,NA,NA,NA,NA,NA,"1042","M5."
"1043","0.4","0","3.6","2.1","1.1","1.34350288425444","4.05","5","3.1",NA,NA,NA,NA,NA,NA,"1043","M5."
"1044","0.5","0","6.6","2.7","2.4","2.33345237791561","7.15","8.8","5.5",NA,NA,NA,NA,NA,NA,"1044","M5."
"1045","0","0","6.1","1.5","0.5","0.282842712474619","6.3","6.5","6.1",NA,NA,NA,NA,NA,NA,"1045","M5."
"1046","0.1","0","8.4","1","2.1","2.54558441227157","6.9","8.7","5.1",NA,NA,NA,NA,NA,NA,"1046","M5."
"1047","0.4","0","6.2","4.5","1.7","1.62634559672906","6.05","7.2","4.9",NA,NA,NA,NA,NA,NA,"1047","M5."
"1048","0.1","0","5.1","1.3","4.6","4.94974746830583","4","7.5","0.5",NA,NA,NA,NA,NA,NA,"1048","M5."
"1049","0.2","0","7","4.6","1.8","3.7476659402887","6.25","3.6","8.9",NA,NA,NA,NA,NA,NA,"1049","M5."
"105","0","0","15","0.8","8.5","14.4683562761405","15.1333333333333","7.8","31.8","5.8",NA,NA,NA,NA,NA,"105","F5."
"1050","0.1","0","10.5","3.3","3","2.54558441227157","9.2","7.4","11",NA,NA,NA,NA,NA,NA,"1050","M5."
"1051","0","0","31.9","0","2.3","0.565685424949236","34.4","34","34.8",NA,NA,NA,NA,NA,NA,"1051","M5."
"1052","0","0","16.1","0.6","9.9","17.8898015640197","19.35","32","6.7",NA,NA,NA,NA,NA,NA,"1052","M5."
"1053","0.3","0","6.4","3.7","1","0.282842712474619","6.2","6","6.4",NA,NA,NA,NA,NA,NA,"1053","M5."
"1054","0.3","0","3.4","5.1","2.2","4.31335136523794","3.35","0.3","6.4",NA,NA,NA,NA,NA,NA,"1054","M5."
"1055","0.2","0","10.2","2.1","3.4","2.75771644662754","5.85","7.8","3.9",NA,NA,NA,NA,NA,NA,"1055","M5."
